,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
corr_x,-0.4314383899563074,-0.5551395771714114,-0.12755504651309368,-0.38916911762087114,0.2916048028635347,0.05215707003104597,0.22088316362115765,-0.04777302443932517,-0.011748769190305748,0.11030700894331938,-0.43255970481106704,-0.12913166758995642,-0.07486594461862164,0.0858478100752654,-0.0822525679513139,0.09454270702048953,-0.023664209505667045,0.09832695345233416,0.37215944524683797,0.15844942381022692,0.048485876358210285,-0.012207768247836698,-0.040042848831782586,0.13320113702811331,-0.13479352894829655,-0.014999514861643432,-0.2366182940190403,0.02255120505392094,-0.11535860813087781,0.11306600475665078,-0.06992674583771889,-0.13541865901450692,0.09741945442186725,-0.23818444917798404,-0.09122097631305295,-0.039641405217616284,0.03063511761674155,0.14646486039788761,-0.03920941725749159,-0.16235005874884081,-0.277248771523872,1.0
corr_logx,-0.44946261926092096,-0.5745640370980906,-0.16485575577131445,-0.4072877192506857,0.2784027747694018,0.02635165602850837,0.2085617780082974,-0.036393771782582296,-0.022924863761935938,0.1345609696545155,-0.4525460813523535,-0.13295977890685337,-0.0509235291257934,0.08793539614940708,-0.05867900686740603,0.10092602017251244,0.0026561850922499726,0.06196496810470289,0.3008664549459142,0.13450370597411465,0.05757234135153349,0.00045448012059666227,-0.025448677065220523,0.11869224075412095,-0.11487980627248238,0.0032811252659747125,-0.23906809169829438,0.0407316363208127,-0.1414209931309129,0.11770523936202805,-0.06993263125211317,-0.13276132983002228,0.10042012071926026,-0.2656164304221906,-0.07172314660492131,-0.026637062469185124,0.040528641318549476,0.13684752309419143,-0.02489371841607893,-0.14095358189407367,-0.2694635134936722,0.9736499426713922
corr_expx,-0.2386225798344701,-0.3030490929567088,0.01998031943626291,-0.1977489309277113,0.35817147245474396,0.14089673345332246,0.2549799816594809,0.008817784631738068,0.08652044877196337,-0.016674281584460823,-0.2222342527622446,-0.08125647855829589,-0.07717572171077523,0.01789874401592642,-0.08174147981695452,0.031266576799182905,-0.07703084018030905,0.1203903455183855,0.529757062327945,0.17528254879587668,-0.014865967566748869,-0.03457600470659335,-0.04431180770037036,0.09204258947403655,-0.10344473514924138,-0.05033040653144869,-0.14540167810731713,-0.039188568934375154,-0.08650851841701138,0.013037594014385461,-0.0680988465300571,-0.08821678717906946,0.025743199259892026,-0.10076082227352143,-0.07093209969998797,-0.05142683463875046,-0.02165996649412244,0.10635583782704854,-0.05329194397499371,-0.11868276877165303,-0.24218299454016792,0.7749841673855161
corr_sqrtx,-0.44369656080572967,-0.5670698360826042,-0.15403178490281755,-0.40024059600034634,0.28430603901800405,0.03278225232868172,0.2124785049081138,-0.03883518038986028,-0.020762871931443525,0.1286266102949346,-0.444918902887794,-0.13125951513323067,-0.057436119030258,0.08726662056628977,-0.06484568571749338,0.09912791876035636,-0.004690701668907725,0.07267814140326002,0.32159641941035516,0.14157928772739226,0.054870420959956756,-0.0031761939071755364,-0.029483338779436305,0.12284718623754788,-0.11948642797925219,-0.0018775510265351702,-0.23727828897377742,0.03555774103332649,-0.14322426682587497,0.1162425505540637,-0.06972549773578189,-0.13242809767720945,0.09951296813914474,-0.25626929306853435,-0.07678999560011554,-0.029761767189288423,0.03759963083463305,0.1397429606146203,-0.028357408765869133,-0.14588822902135853,-0.272055839864442,0.9842683968284922
corr_sqrex,-0.3805328076841731,-0.4913149552993508,-0.07766539900535237,-0.3399634906568415,0.30244342028818966,0.079186711853722,0.22715450044134136,-0.049502639194415804,0.006779160794883913,0.07371277786718138,-0.3779943178005596,-0.1172838761807211,-0.09264744722106792,0.07258461475722512,-0.09780201501624752,0.0784582980644104,-0.05296382785635063,0.13065045405336756,0.4413949897257053,0.17874645739946374,0.029972953998921185,-0.026358799169721704,-0.05169904863442087,0.13771380877208564,-0.14037522409825834,-0.035268696720718966,-0.21633713777890837,-0.002197635424957977,-0.09889670920416946,0.09209098774293727,-0.06990158406346005,-0.12614116611122123,0.08266189199226541,-0.18949197211949503,-0.10047931125303551,-0.04888925280942642,0.013233064650855539,0.1464629516074792,-0.04944524889988387,-0.167232267066051,-0.2702834193528689,0.9703097826810833
