,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Manufacturer_Chrysler,-0.049615774656430925,-0.06062655412758483,-0.05124372505715257,0.024777296719649195,0.04597641469446012,0.05062328820959451,0.14098433143296496,-0.025103599348130497,-0.07612193227143703,0.0297089237621912,0.006474807765234102,-0.030151134457776348,-0.030151134457776348,-0.03492912213303888,-0.03918019549846887,-0.05327136039034323,1.0,-0.05929571430685193,-0.05929571430685203,-0.03918019549846897,-0.030151134457776417,-0.017295817388759023,-0.017295817388759026,-0.030151134457776407,-0.043061637634460616,-0.030151134457776375,-0.053271360390343296,-0.04306163763446057,-0.04666666666666672,-0.046666666666666676,-0.04306163763446054,-0.03492912213303891,-0.04306163763446053,-0.03015113445777636,-0.024538755828982208,-0.03918019549846894,-0.02453875582898221,-0.053271360390343324,-0.04306163763446056,-0.04306163763446054,0.058173846387705834,-0.02366420950566708
Manufacturer_Dodge,-0.015490509097435823,-0.06018465277728732,0.17151084096234834,0.06650244661724443,0.25988319703350127,0.285109926142539,0.16880098772579205,0.10836108204982008,0.2582266611689527,-0.2202578715949319,0.04304035070516238,-0.038310708317909725,-0.038310708317909725,-0.044381726721210386,-0.049783235973510476,-0.06768778642378169,-0.05929571430685193,1.0,-0.07534246575342447,-0.04978323597351048,-0.03831070831790977,-0.021976453855442984,-0.021976453855442977,-0.03831070831790979,-0.05471508348767489,-0.038310708317909774,-0.06768778642378179,-0.05471508348767484,-0.059295714306852015,-0.059295714306852015,-0.05471508348767486,-0.04438172672121038,-0.054715083487674857,-0.038310708317909774,-0.031179494037448498,-0.049783235973510524,-0.0311794940374485,-0.06768778642378179,-0.054715083487674884,-0.05471508348767488,-0.17765923948827508,0.09832695345233423
Manufacturer_Ford,-0.11117328304576224,-0.12129059186572864,0.07054284834510652,-0.07699355348990551,0.1885654098783775,0.13597878237231503,0.16356577768189084,0.03591428440769245,0.07932208313806972,-0.06680290797477316,-0.08632379406577774,-0.038310708317909774,-0.038310708317909774,-0.044381726721210414,-0.0497832359735105,-0.06768778642378165,-0.05929571430685203,-0.07534246575342447,1.0,-0.049783235973510476,-0.038310708317909725,-0.02197645385544298,-0.02197645385544297,-0.038310708317909774,-0.05471508348767487,-0.03831070831790975,-0.06768778642378177,-0.054715083487674815,-0.059295714306852015,-0.059295714306852036,-0.054715083487674857,-0.044381726721210386,-0.05471508348767487,-0.03831070831790977,-0.031179494037448498,-0.04978323597351053,-0.031179494037448498,-0.0676877864237818,-0.05471508348767488,-0.05471508348767488,-0.12085170262542533,0.3721594452468372
Manufacturer_Honda,-0.02901803812250233,-0.08996612614384644,-0.09444387228966465,-0.08206994695410764,0.0018136384198959323,-0.03628168711646335,-0.04304061453400764,-0.014686676107495862,-0.040706499501082016,0.049456399255954915,-0.08569337102083893,-0.025314157340492194,-0.025314157340492194,-0.029325639294907755,-0.03289473684210528,-0.04472533531206524,-0.03918019549846897,-0.04978323597351048,-0.049783235973510476,1.0,-0.025314157340492187,-0.014521146569944214,-0.014521146569944203,-0.0253141573404922,-0.03615350102147986,-0.025314157340492176,-0.04472533531206524,-0.03615350102147983,-0.039180195498468934,-0.039180195498468934,-0.036153501021479816,-0.029325639294907762,-0.03615350102147979,-0.025314157340492152,-0.02060214108575821,-0.03289473684210526,-0.02060214108575821,-0.04472533531206522,-0.03615350102147979,-0.03615350102147978,-0.13991166262660268,0.15844942381022672
Manufacturer_Hyundai,-0.13272966839051753,-0.14883019838128403,-0.1470829785867266,-0.14672247151461468,-0.12042086183500826,-0.12530528260609872,-0.1252918631566752,-0.16351155979333604,-0.1233254902025886,0.12609297348626197,-0.15114544437238936,-0.019480519480519484,-0.019480519480519484,-0.022567556955543192,-0.025314157340492183,-0.034418398925955045,-0.030151134457776417,-0.03831070831790977,-0.038310708317909725,-0.025314157340492187,1.0,-0.011174753906691856,-0.011174753906691853,-0.019480519480519487,-0.027821940563328488,-0.01948051948051948,-0.034418398925955045,-0.027821940563328484,-0.03015113445777637,-0.030151134457776355,-0.027821940563328488,-0.022567556955543192,-0.027821940563328488,-0.019480519480519477,-0.015854385566275424,-0.025314157340492173,-0.015854385566275424,-0.03441839892595505,-0.02782194056332849,-0.0278219405633285,0.08297804542942105,0.04848587635821018
Manufacturer_Infiniti,0.01980420546479436,0.012005440522331295,-0.00466733373261021,0.05841184424918834,0.008603953889182794,-0.02208502843136196,0.03811151931752865,-0.004560134135714955,0.011457034713807298,0.021832174121489027,0.04968608326481432,-0.011174753906691856,-0.011174753906691856,-0.012945593956343628,-0.014521146569944214,-0.01974367974347462,-0.017295817388759023,-0.021976453855442984,-0.02197645385544298,-0.014521146569944214,-0.011174753906691856,1.0,-0.006410256410256412,-0.011174753906691853,-0.015959704735425923,-0.011174753906691858,-0.01974367974347462,-0.01595970473542593,-0.017295817388759026,-0.017295817388759033,-0.01595970473542593,-0.012945593956343624,-0.01595970473542593,-0.011174753906691865,-0.009094667994973342,-0.014521146569944235,-0.009094667994973344,-0.01974367974347462,-0.015959704735425934,-0.015959704735425927,0.04759930751637994,-0.012207768247836755
Manufacturer_Jaguar,-0.023675881894805868,0.08706974063686404,-0.00466733373261021,0.07688531974505786,0.0739832569003503,0.010592785430728165,0.02371366441593975,0.03492945151375329,0.00938473696027302,-0.05391702669782137,0.08100145862573561,-0.011174753906691853,-0.011174753906691853,-0.01294559395634363,-0.014521146569944207,-0.019743679743474612,-0.017295817388759026,-0.021976453855442977,-0.02197645385544297,-0.014521146569944203,-0.011174753906691853,-0.006410256410256412,1.0,-0.011174753906691853,-0.015959704735425923,-0.011174753906691858,-0.01974367974347462,-0.01595970473542593,-0.017295817388759026,-0.017295817388759037,-0.01595970473542593,-0.012945593956343624,-0.01595970473542593,-0.011174753906691865,-0.009094667994973342,-0.014521146569944235,-0.009094667994973344,-0.019743679743474622,-0.015959704735425934,-0.015959704735425927,0.04759930751637994,-0.040042848831782676
Manufacturer_Jeep,-0.025132540424385116,-0.062220423678062534,0.05909583961073831,-0.04350420028079286,-0.13328880704373366,-0.0683393042197614,-0.21279055975083264,-0.001020737169776308,0.06814003700228873,-0.1710210424160533,-0.04724606067851735,-0.019480519480519484,-0.019480519480519484,-0.022567556955543185,-0.025314157340492215,-0.03441839892595508,-0.030151134457776407,-0.03831070831790979,-0.038310708317909774,-0.0253141573404922,-0.019480519480519487,-0.011174753906691853,-0.011174753906691853,1.0,-0.027821940563328488,-0.019480519480519473,-0.034418398925955045,-0.027821940563328484,-0.030151134457776355,-0.030151134457776355,-0.027821940563328488,-0.022567556955543192,-0.027821940563328488,-0.019480519480519477,-0.015854385566275424,-0.025314157340492173,-0.015854385566275424,-0.03441839892595505,-0.02782194056332849,-0.0278219405633285,-0.2347671529222642,0.133201137028113
Manufacturer_Lexus,0.12732033445908084,0.2343674410212337,0.106805065144161,0.2120606372572945,0.03498603076031817,0.05155537012192352,0.034395744559726056,0.19310284598167043,0.1334331206008082,-0.1420960496178858,0.22334284317056313,-0.02782194056332848,-0.02782194056332848,-0.03223082571820154,-0.03615350102147986,-0.049156114659079694,-0.043061637634460616,-0.05471508348767489,-0.05471508348767487,-0.03615350102147986,-0.027821940563328488,-0.015959704735425923,-0.015959704735425923,-0.027821940563328488,1.0,-0.027821940563328495,-0.04915611465907965,-0.03973509933774833,-0.04306163763446057,-0.043061637634460546,-0.039735099337748346,-0.03223082571820153,-0.039735099337748346,-0.027821940563328488,-0.02264312167517441,-0.036153501021479836,-0.022643121675174408,-0.049156114659079674,-0.039735099337748346,-0.03973509933774836,-0.03275849121550204,-0.13479352894829685
Manufacturer_Lincoln,0.02241837442789675,0.14089287642755532,0.24286391669978316,0.1918334581323212,0.14245287600038745,0.2476862425425349,0.23202353130153597,0.2420822221244357,0.18253767904293874,-0.14901259679365955,0.18777872881979238,-0.019480519480519487,-0.019480519480519487,-0.022567556955543196,-0.025314157340492173,-0.03441839892595507,-0.030151134457776375,-0.038310708317909774,-0.03831070831790975,-0.025314157340492176,-0.01948051948051948,-0.011174753906691858,-0.011174753906691858,-0.019480519480519473,-0.027821940563328495,1.0,-0.034418398925955045,-0.027821940563328484,-0.030151134457776375,-0.03015113445777636,-0.027821940563328495,-0.022567556955543192,-0.027821940563328488,-0.01948051948051948,-0.015854385566275428,-0.025314157340492176,-0.015854385566275428,-0.03441839892595506,-0.0278219405633285,-0.027821940563328505,-0.022937020687807418,-0.014999514861643502
